jaar,duinhoogte,punt2,punt3,windkracht6,windkracht7,windkracht8,windkracht9,windkracht10,windkracht11,windkracht12,noord,oost,zuid,west,noord-oosten,zuid-oosten,zuid-westen,noord-westen,hogeluchtvochtigheid,lageluchtvochtigheid,gemiddeldeluchtvochtigheid,neerslag
1997,928,791,814,92,32,5,0,0,0,0,16,12,10,21,12,5,39,14,122,0,7,656.5
1998,964,826,848,81,49,7,2,0,0,0,13,2,7,34,6,0,56,21,138,0,1,1206.7
1999,913,818,831,96,47,7,1,0,0,0,10,8,15,30,17,3,52,16,145,0,6,1020.6
2000,0,0,0,96,48,4,1,0,0,0,10,3,18,27,17,4,51,19,145,0,4,971.4
2001,904,806,807,99,40,5,1,0,0,0,16,6,13,24,18,6,38,24,143,0,2,1154.7
2002,0,0,0,71,38,7,1,0,0,0,15,7,11,24,8,5,36,11,109,1,7,974.5
2003,944,850,877,77,22,3,0,0,0,0,8,5,20,15,9,0,34,11,97,1,4,637.5
2004,930,836,867,80,41,5,1,0,0,0,13,4,13,23,6,2,46,20,123,0,4,840.8
2006,992,858,920,80,30,2,0,0,0,0,14,2,15,16,10,2,40,13,109,0,3,883.5
2007,1006,887,922,73,47,6,0,0,0,0,25,1,4,27,9,5,39,16,120,0,6,892.6
2008,969,961,995,93,36,7,3,0,0,0,10,3,19,36,7,2,50,12,139,0,0,869.8
2009,936,831,897,83,32,0,0,0,0,0,9,3,27,19,16,2,29,10,114,0,1,746.2
2010,873,827,849,83,21,5,0,0,0,0,25,4,11,12,20,2,21,14,106,0,3,850.8
2011,947,946,1067,82,37,2,1,0,0,0,7,2,8,28,10,3,53,11,117,2,3,897.9
2012,1003,949,1065,71,37,6,0,0,0,0,10,5,18,23,9,4,32,13,107,0,7,994.0
2015,901,850,1013,101,44,7,3,0,0,0,14,2,25,26,14,3,56,15,152,0,3,891.3
2016,877,830,985,72,36,8,2,0,0,0,10,6,15,16,16,4,33,18,110,0,8,865.8
2017,855,822,978,83,41,9,1,0,0,0,10,4,17,36,7,2,39,19,127,0,7,956.3
2018,849,808,951,84,27,4,1,0,0,0,9,11,17,22,10,5,30,12,103,1,12,700.9
2020,841,800,924,78,46,6,0,0,0,0,14,4,26,20,9,2,47,8,114,3,13,985.3
2019,851,803,937,73,36,2,0,0,0,0,8,0,20,17,8,4,37,17,106,0,5,929.3
